"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,1W"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,2M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,3M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,6M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_AAA-AA,9M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,7Y"
"InterestRate.:SPRDCURVE.CDS_US_BANKING_A-BBB,9M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,12M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,1M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,1W"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,2M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,3M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,6M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_HY,9M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,12M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,1M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,1W"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,2M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,3M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,6M"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CDX_IG,9M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,12M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,1M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,1W"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,2M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,3M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,6M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_A,9M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,12M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,1M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,1W"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,2M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,3M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,6M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AA,9M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,12M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,1M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,1W"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,2M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,3M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,6M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_AAA,9M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,7Y"
"InterestRate.:SPRDCURVE.CDS_US_CORPORATE_BBB,9M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,10Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,12M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,12Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,15Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,1M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,1W"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,20Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,25Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,2M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,2Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,30Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,3M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,3Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,40Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,50Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,5Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,6M"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,7Y"
"InterestRate.:SPRDCURVE.CDS_US_EMHY,9M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,10Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,12M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,12Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,15Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,1M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,1W"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,20Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,25Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,2M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,2Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,30Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,3M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,3Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,40Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,50Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,5Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,6M"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,7Y"
"InterestRate.:SPRDCURVE.CDS_US_EMIL,9M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,10Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,12M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,12Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,15Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,1M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,1W"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,2M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,3M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,6M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_AAA-AA,9M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,7Y"
"InterestRate.:SPRDCURVE.CDS_US_FINANCIAL_A-BBB,9M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,10Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,12M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,12Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,15Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,1M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,1W"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,20Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,25Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,2M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,2Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,30Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,3M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,3Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,40Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,50Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,5Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,6M"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,7Y"
"InterestRate.:SPRDCURVE.CDS_US_FOREIGNGOVSUPRAS,9M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,7Y"
"InterestRate.:SPRDCURVE.CDS_US_GASELECTRICUTILITY_A-BBB,9M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,10Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,12M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,12Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,15Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,1M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,1W"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,20Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,25Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,2M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,2Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,30Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,3M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,3Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,40Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,50Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,5Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,6M"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,7Y"
"InterestRate.:SPRDCURVE.CDS_US_HIGHYIELD_BB-B,9M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,10Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,12M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,12Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,15Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,1M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,1W"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,2M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,3M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,6M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_AAA-AA,9M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,7Y"
"InterestRate.:SPRDCURVE.CDS_US_INDUSTRIAL_A-BBB,9M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,10Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,12M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,12Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,15Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,1M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,1W"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,20Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,25Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,2M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,2Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,30Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,3M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,3Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,40Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,50Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,5Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,6M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,7Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_AAA-AA,9M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,10Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,12M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,12Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,15Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,1M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,1W"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,20Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,25Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,2M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,2Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,30Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,3M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,3Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,40Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,50Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,5Y"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,6M"
"InterestRate.:SPRDCURVE.CDS_US_TELECOM_A-BBB,7Y"
